Part;Value;Device;Package;MPN;Manufacturer;Description;DESCRIPTION
BATT;S2B-PH-SM4-TB(LF)(SN);JST_2PIN-SMT-RA;JST-PH-2-SMT-RA;S2B-PH-SM4-TB(LF)(SN);JST;PH Series 2 Position 2 mm Pitch Surface Mount Side Entry Shrouded Header;
C1;10 uF;C-EUC1206;C1206;GPC1206106;Generic part;"10µF ±10% 50V Ceramic Capacitor X5R 1206 (3216 Metric) 0.126"" L x 0.063"" W (3.20mm x 1.60mm)";
C2;4.7 uF;C-EUC1206;C1206;GPC1206475-25;Generic part;4.7µF ±10% 25V Ceramic Capacitor X7R 1206 (3216 Metric);
C3;100nF;C-EUC0603;C0603;GPC0603104;Generic part;0603, Cap 100.0nF, 50V, 10.0%, X7R;
C4;100nF;C-EUC0603;C0603;GPC0603104;Generic part;0603, Cap 100.0nF, 50V, 10.0%, X7R;
C5;10 uF;C-EUC1206;C1206;GPC1206106;Generic part;"10µF ±10% 50V Ceramic Capacitor X5R 1206 (3216 Metric) 0.126"" L x 0.063"" W (3.20mm x 1.60mm)";
C6;10 uF;C-EUC1206;C1206;GPC1206106;Generic part;"10µF ±10% 50V Ceramic Capacitor X5R 1206 (3216 Metric) 0.126"" L x 0.063"" W (3.20mm x 1.60mm)";
C7;100n;C-EUC0805;C0805;GPC0805104;Generic part;0805, Cap 100.0nF, 50V, 10.0%, X7R;
C8;100n;C-EUC0805;C0805;GPC0805104;Generic part;0805, Cap 100.0nF, 50V, 10.0%, X7R;
C9;22uF;C-EUC0805;C0805;GRM219R61C226ME15K;Murata Electronics;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 22uF 20% 16VDC X5R;
C10;22uF;C-EUC0805;C0805;GRM219R61C226ME15K;Murata Electronics;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 22uF 20% 16VDC X5R;
C11;22uF;C-EUC0805;C0805;GRM219R61C226ME15K;Murata Electronics;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 22uF 20% 16VDC X5R;
CN3;690-005-299-043;USBMINIB;USB-MINIB;690-005-299-043;EDAC;USB - mini B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle;
IC1;XC6220SOT-25;XC6220SOT-25;SOT25;XC6220B331MR-G;Torex Semiconductor;Linear Voltage Regulator IC Positive Fixed 1 Output 3.3V 1A SOT-25;
IC2;SN74LVC1G175DBVR;SN74LVC1G175DBVR;SOT95P280X145-6N;SN74LVC1G175DBVR;Texas Instruments;IC D-TYPE POS TRG SNGL SOT23-6;Single D-Type Flip-Flop with Asynchronous Clear
IC3;SLW-111-01-G-D;APE;APE;SLW-111-01-G-D;Samtec Inc.;"22 Position Receptacle Connector 0.100"" (2.54mm) Through Hole Gold";
IC3a;SLW-111-01-G-D;APE;APE;SLW-111-01-G-D;Samtec Inc.;"22 Position Receptacle Connector 0.100"" (2.54mm) Through Hole Gold";
